date	edition	section	page	length	head	hash	year	month
text592111	2016-01-05	朝刊	４総合	4	942	衆参委員長決定	c58cc75b4d2db3dc75b13d48c6b4d06e	2016	1
text592112	2016-01-05	朝刊	１経済	6	1469	関西財界、期待と課題　ＴＰＰ発効向け準備・訪日リピーターを　大阪新年互礼会【大阪】	29a4242b9674615d71dbf2af987863f8	2016	1
text592113	2016-01-05	朝刊	１経済	7	312	甘利経済再生相「脱却宣言できれば」　デフレ対策、今年の抱負	18be6859956c5979b62e69cefd48652d	2016	1
text592114	2016-01-05	夕刊	夕刊憲法	8	953	（新聞と９条：１６９）沖縄から：５９	9f0c1a2e63739c1847a20a8413db8578	2016	1
text592115	2016-01-05	朝刊	２外報	10	3030	（世界発２０１６）「統治」進めるタリバーン　ＮＡＴＯ戦闘部隊、アフガン撤退１年	e8593f9873794ba41076f5dc864ddf6c	2016	1
text592116	2016-01-05	朝刊	１外報	11	430	「元慰安婦に寄り添う措置を」　先月、韓国外相が会談で要求	521ff44a4ace36ec5ef8a3bfae6dc5d4	2016	1
text592117	2016-01-05	朝刊	オピニオン２	12	417	（声）若い世代へ　１８歳選挙権、若者の感性期待　【大阪】	f45fdd6d521a6db80809b37980fcfa78	2016	1
text592118	2016-01-05	朝刊	オピニオン２	12	402	（声）若い世代へ　自分で考える有権者教育を　【大阪】	5ecbc203fcb0a3d5fd5bcac09f70213e	2016	1
text592119	2016-01-05	朝刊	オピニオン２	14	383	（声）若い世代へ　高投票率で政治家を驚かせよう	ac29abb2924cb6f2d733446a2acd8f10	2016	1
text592120	2016-01-05	朝刊	オピニオン２	14	1765	（社説）通常国会開幕　「戦後の岐路」問う論戦を	720dc39223ac8eef49949e4f44286002	2016	1
text592121	2016-01-05	朝刊	オピニオン２	14	384	（声）若い世代へ　民主主義を担うのはあなたたち	d219c02fff4511322d0a30c1c5f3fe98	2016	1
text592122	2016-01-05	朝刊	宮城全県・１地方	21	854	仕事始め　復興・景気・安全へトップら抱負　／宮城県	ada9b07ecd1055c10719e61a81625400	2016	1
text592123	2016-01-05	朝刊	東京四域・１地方	23	531	都の水道技術協力、ベトナムでも開始　／東京都	a007e06f29afac29e69e6d3c0a7d5716	2016	1
text592124	2016-01-05	朝刊	ちば首都圏・１地方	23	1596	（わたしらしく　そこに憲法：４）一人ひとりの自由と権利、保護される世界実現のため／千葉県	32d0ad539f2f27c2ee75f6c12edf2b03	2016	1
text592125	2016-01-05	朝刊	埼玉・１地方	23	699	２月に上尾市長選　今年、１７市町村で首長・議員選　／埼玉県	dfd0130224ea7343ddecc520dc03ca66	2016	1
text592126	2016-01-05	朝刊	ちば首都圏・１地方	23	900	「仕事始め」　県内各地のトップ、抱負　／千葉県	4fff82a97caa73d603494127cc206bea	2016	1
text592127	2016-01-05	朝刊	大阪市内・１地方	31	1757	（オオサカ人：４）セファ・シムシェイクさん　３９歳　伝統弦楽器奏者　／大阪府	a50d7fcafd4ec931e07de6f3fc32063d	2016	1
text592128	2016-01-05	朝刊	山口・１地方	31	393	１８歳選挙権「政治に関心を」　村岡知事、高校生県議会に触れ　／山口県	94a0063ffa364c02f7bd893b24341692	2016	1
text592129	2016-01-05	朝刊	山口・１地方	31	1568	（１８歳が選ぶ）「関心あるテーマ」３位　東京五輪・パラリンピック　／山口県	f5dc50dc7989f74bf4136d35eea51f7b	2016	1
text592130	2016-01-05	朝刊	奈良１・１地方	31	1305	（吉野悠久：３）「造林王」生んだ川上村　孫に残す、百年の物語　／奈良県	7f5577e7f0f8c84fb76af449d3aef4ae	2016	1
text592131	2016-01-05	朝刊	熊本全県・１地方	31	605	県内各地で仕事始め　今年の漢字は知事「流」、熊本市長「伸」　／熊本県	67a554503bb635409ad9dfc6a5016cff	2016	1
text592132	2016-01-05	朝刊	１社会	35	2104	「大阪副首都」議論始め　各地の首長・財界から賛否　【大阪】	3f6a89515e7d8a39f317c5cdbd0de77c	2016	1
text592133	2016-01-06	朝刊	１総合	1	794	インデックス　１月６日	4bfbba057453a78f7be568d54e4ec7da	2016	1
text592134	2016-01-06	夕刊	１総合	1	2817	北朝鮮「水爆実験」　初の成功と発表　核実験４度目　北部で人工地震	dcd5715fa3c13e39224bc7abce577955	2016	1
text592135	2016-01-06	夕刊	２総合	2	279	シリア和平交渉「悪影響与えぬ」　サウジ意向、特使発表	ab4d8a53e10774c1a09ecb934ade679e	2016	1
text592136	2016-01-06	夕刊	２総合	2	304	デジタル版から　朝日新聞ＤＩＧＩＴＡＬ	48ad0bb37a06b3ba552036d28a400fd8	2016	1
text592137	2016-01-06	夕刊	２総合	2	401	慰安婦問題合意、ケリー氏が評価　日米外相電話協議	2df5e04c255cc81bfff13dbc5b715642	2016	1
text592138	2016-01-06	夕刊	２総合	2	762	各国衝撃、分析急ぐ　韓国、緊急態勢入り　北朝鮮水爆実験	281ab65337d485c9ebf3e84afbbe6bea	2016	1
text592139	2016-01-06	朝刊	３総合	3	943	占領下北京発、幻の雑誌　「月刊毎日」大戦末期の８号確認	f43c7a70fb5f8defa513d93505b3fb8c	2016	1
text592140	2016-01-06	朝刊	３総合	3	2572	中東、崩れる均衡　焦るサウジ、背景に原油安	33fba6f131ed6f27a142969835178e4e	2016	1
text592141	2016-01-06	朝刊	４総合	4	1940	（考２０１６：２）スローガン政治　ＮＰＯ理事長・奥田知志さん　一億総活躍の社会、国は環境整えたか	867ce1df7c8a40fc8ec0f6743dd87421	2016	1
text592142	2016-01-06	夕刊	夕刊芸能	6	1006	感情と知性、シカゴ流　来日公演、ロバート・ラムに聞く	ffd5b133f1b366b62bae76ad4ee43756	2016	1
text592143	2016-01-06	朝刊	５総合	7	759	慰安婦財団、今年前半に　韓国、設立めざし実務協議	459e7da4768fe142a90f791af299090a	2016	1
text592144	2016-01-06	朝刊	５総合	7	1869	（教えて！続マイナンバー：１）社会保障や納税で提示	b306f6c977f75d0b497ee91b31247d40	2016	1
text592145	2016-01-06	夕刊	１社会	7	2387	なぜ、被爆者憤り　「核廃絶の流れに逆行」　北朝鮮核実験　【西部】	e68ffd82a1e0cb04fe55645d9e38746a	2016	1
text592146	2016-01-06	夕刊	１社会	7	1232	わがシャンソン、パリの空に響け　テロ悼みＣＤ制作、現地で配布　【名古屋】	5cd2950e4a10b5449a7dd6bdbe53db74	2016	1
